stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
110408,Northwest Bay at Claudet,49.28704,-124.19401,0,110408
110409,Northwest Bay at Stewart,49.28615,-124.18909,0,110409
110412,Northwest Bay at Apollo,49.27298,-124.19277,0,110412
104173,Northwest Bay at Isl Hwy,49.26418,-124.1993,0,104173
110415,Island Hwy E at Summerset,49.26099,-124.19523,0,110415
110008,Metral 6530 block,49.23298,-124.04844,0,110008
110015,Mostar at Dunster,49.21297,-124.03461,0,110015
110492,Mostar at Boban,49.20788,-124.03534,0,110492
110261,Jingle Pot at Monterey,49.19984,-124.03487,0,110261
110265,Jingle Pt at E Wellington,49.17229,-124.02075,0,110265
110266,Jingle Pot at Holland,49.17206,-123.99989,0,110266
109763,Jingle Pot at Ashlee,49.16999,-123.99145,0,109763
109920,McGirr at Thyme,49.2355,-124.03189,0,109920
109921,Hammond Bay 6150 block,49.23431,-124.03318,0,109921
110255,Jingle Pot at Holland,49.17215,-123.99997,0,110255
110256,Jingle Pt at E Wellington,49.17241,-124.02099,0,110256
110260,Jingle Pot at Cavendish,49.2005,-124.03513,0,110260
110000,Mostar at Boban,49.20944,-124.03502,0,110000
110496,Island Hwy E 2320 block,49.26378,-124.20178,0,110496
110322,Island Hwy E at Arbutus,49.30735,-124.26403,0,110322
104169,Island Hwy E at Morello,49.26354,-124.20337,0,104169
104148,Crescent Rd W at Rye,49.35251,-124.45168,0,104148
104147,Garrett at Parkridge,49.35723,-124.47132,0,104147
104149,Canyon at 727,49.3551,-124.47275,0,104149
104150,Canyon at Hoylake Rd W,49.35303,-124.46934,0,104150
104157,Arbutus at Hoylake Rd,49.35139,-124.46389,0,104157
104151,Mill Rd at Arbutus,49.34962,-124.46315,0,104151
104152,Mill Rd at Alder St,49.34961,-124.45787,0,104152
104153,Mill Rd at Rye St,49.3496,-124.45304,0,104153
104154,Mill Rd at Beach Rd,49.34948,-124.44794,0,104154
104155,Beach at First Ave W,49.34848,-124.44726,0,104155
104156,Fern Rd AT Beach Rd,49.34623,-124.44734,0,104156
104138,Garrett at Garrett Tn Abt,49.35374,-124.47652,0,104138
109801,Departure Bay at Mexicana,49.20845,-123.9998,0,109801
109799,Departure Bay at Shamrock,49.21015,-123.98941,0,109799
109800,Dep Bay at Rock City,49.20991,-123.99473,0,109800
104047,Barons at Departure Bay,49.20761,-124.00174,0,104047
109804,Barons 3110 block,49.20894,-124.002,0,109804
109846,Ross at Knight,49.20846,-124.00519,0,109846
109849,Departure Bay at Mexicana,49.20873,-123.99821,0,109849
109850,Dep Bay at Rock City,49.20981,-123.99455,0,109850
109851,Departure Bay at Shamrock,49.21002,-123.98912,0,109851
109968,Wallace at Comox,49.16958,-123.94222,0,109968
109969,Wallace at Campbell,49.16824,-123.94189,0,109969
109772,Wallace at Fitzwilliam,49.16556,-123.9397,0,109772
109773,Victoria at Albert,49.1634,-123.93574,0,109773
109764,Jingle Pot at Calder,49.16909,-123.98704,0,109764
109766,Jingle Pot at Bird Sanc,49.16655,-123.96917,0,109766
109767,Jingle Pot at Sarum Rise,49.16653,-123.96312,0,109767
109768,Wakesiah at Beaconsfield,49.16514,-123.96113,0,109768
109769,Wakesiah at Foster,49.16168,-123.96124,0,109769
110101,4th St at Wheatley,49.15891,-123.95618,0,110101
110102,Howard at Foster,49.16122,-123.9552,0,110102
110103,Howard at 3rd St,49.1626,-123.95519,0,110103
110104,Howard at 2nd St,49.16613,-123.95517,0,110104
110105,Pine at Wentworth,49.16603,-123.95089,0,110105
110106,Pine at Fitzwilliam,49.16386,-123.9504,0,110106
110107,Pine at 4th St,49.15919,-123.9461,0,110107
110108,Albert at Milton,49.16008,-123.94089,0,110108
110109,Albert at Prideaux,49.16094,-123.93978,0,110109
110110,Albert at Robarts,49.16244,-123.93787,0,110110
110163,Ext at Country Hills,49.11288,-123.92851,0,110163
110164,Cinnabar at Ranchview,49.1092,-123.9321,0,110164
110165,Cinnabar at Tait,49.10755,-123.93211,0,110165
110166,Cinnabar at Stacey,49.10442,-123.93216,0,110166
110167,Stacey at Stannard,49.10402,-123.93,0,110167
110168,Stacey at Szasz,49.10546,-123.92745,0,110168
110169,Porter at Richardson,49.10504,-123.92394,0,110169
110170,Richardson at Torkko,49.10664,-123.92471,0,110170
110171,Richardson at Ranchview,49.10947,-123.9266,0,110171
110172,Richardson at Extension,49.11175,-123.92848,0,110172
110173,Extension at Rajeena,49.11376,-123.92714,0,110173
110174,Extension at Lenwood,49.1173,-123.92358,0,110174
110175,Extension at Roberta Rd E,49.11934,-123.92268,0,110175
110176,Cranberry at Extension,49.12422,-123.91988,0,110176
110206,Cranberry at Cran Cnctr,49.12577,-123.91983,0,110206
110190,Cedar at Gould Rd W,49.09598,-123.85056,0,110190
110191,Gould at Yellow Point,49.0956,-123.84763,0,110191
110192,Yellow Point at Gould,49.09691,-123.84811,0,110192
110193,Cedar at Woobank,49.09897,-123.85158,0,110193
110194,Woobank at Ara,49.10214,-123.85026,0,110194
110195,Woobank at Blue Jay,49.10533,-123.85029,0,110195
110196,Woobank at Starling,49.11015,-123.85017,0,110196
110197,Woobank at Holden Corso,49.11544,-123.85039,0,110197
110198,Holden Corso at Canin,49.11553,-123.85589,0,110198
110199,Holden Corso at MacMillan,49.11557,-123.86338,0,110199
110200,MacMillan at Duke Point,49.11798,-123.86577,0,110200
110201,Cedar at Wilkinson,49.11631,-123.88169,0,110201
110202,Cedar at Clifford,49.11914,-123.88892,0,110202
110203,Cedar at Frew,49.12073,-123.90342,0,110203
110204,Cedar Rd. at Fielding Rd.,49.12351,-123.91134,0,110204
110205,Cedar at Maki,49.12488,-123.91563,0,110205
110157,Lawlor at 11th St,49.12998,-123.92401,0,110157
110474,Haliburton at Highview,49.14271,-123.9261,0,110474
110475,Haliburton 840 block,49.14582,-123.93076,0,110475
110476,Haliburton at Woodhouse,49.14741,-123.93175,0,110476
110477,Haliburton at Robins,49.15082,-123.93225,0,110477
110478,Haliburton at Needham,49.15366,-123.93241,0,110478
110479,Haliburton at Sabiston,49.15544,-123.93251,0,110479
110071,VIU Exchange Bay A,49.1579,-123.96678,0,110071
109889,Dep Bay at Merry Men,49.2085,-123.9774,0,109889
109890,Dep Bay at Smugglers Hill,49.21025,-123.98397,0,109890
109891,Departure Bay at Charles,49.21011,-123.98479,0,109891
109892,Dep Bay at Merry Men,49.20833,-123.97739,0,109892
109928,Mary Ellen 6680 block,49.23871,-124.05402,0,109928
109826,Dover at Mary Ellen,49.24166,-124.05338,0,109826
109827,Dover at Dickinson,49.24162,-124.04986,0,109827
109828,Dover at Lewis,49.24152,-124.04566,0,109828
109829,Dover at Applecross,49.24142,-124.04238,0,109829
109929,Dover at Blueback,49.24142,-124.0388,0,109929
109930,Dover at Invermere,49.24139,-124.03532,0,109930
109931,Dover at McGirr,49.24139,-124.03278,0,109931
109919,McGirr at McRobb,49.23961,-124.03199,0,109919
109936,Hammond Bay at Clipper,49.23417,-124.02488,0,109936
109937,Hammond Bay at Rutherford,49.23409,-124.01828,0,109937
109938,Hammond Bay at Norasea,49.23396,-124.00994,0,109938
109939,Hammond Bay at Yorkshire,49.2339,-124.00598,0,109939
109940,Hammond Bay at Fillinger,49.2338,-123.9957,0,109940
109941,Hammond Bay at Dunn,49.23315,-123.99243,0,109941
109942,Hammond Bay at Williamson,49.23175,-123.98876,0,109942
109943,Hammond Bay at Malaspina,49.23103,-123.98375,0,109943
109944,Hammond Bay at Frontage,49.23137,-123.98011,0,109944
109945,Hammond Bay at McGuffie,49.231,-123.97437,0,109945
109946,Hammond Bay at Tiki,49.23052,-123.96911,0,109946
109947,Hammond Bay at Piper,49.22852,-123.96333,0,109947
109948,Hammond Bay at Overlook,49.22629,-123.95847,0,109948
109949,Hammond Bay at Lagoon,49.22516,-123.95391,0,109949
109950,Hammond Bay at Overlook,49.22237,-123.95037,0,109950
109951,Hammond Bay at Oakridge,49.21929,-123.95186,0,109951
109952,Hammond Bay at Linley,49.21719,-123.95522,0,109952
109953,Hammond Bay at Nottingham,49.21354,-123.95653,0,109953
109954,Hammond Bay at Rickers,49.21152,-123.95761,0,109954
110516,Country Club Exch Bay A,49.20719,-124.00491,0,110516
109958,Departure Bay at Loat,49.20334,-123.97104,0,109958
109959,Departure Bay at Argyle,49.19799,-123.9714,0,109959
109960,Dep Bay at Sandringham,49.19591,-123.97127,0,109960
109860,Departure Bay at Estevan,49.19166,-123.96672,0,109860
109961,Brechin at Estevan,49.19025,-123.9626,0,109961
109962,Brechin at Bayview,49.19018,-123.95772,0,109962
109963,Brechin at Beach,49.18969,-123.95551,0,109963
109880,Departure Bay Ferry,49.19172,-123.95319,0,109880
109964,Stewart at Maple,49.18723,-123.95015,0,109964
109965,Stewart at Larch,49.185,-123.94768,0,109965
109966,Stewart at Cypress,49.17984,-123.94567,0,109966
109967,Stewart at Townsite,49.17753,-123.94457,0,109967
109870,Stewart at Mt Benson,49.17587,-123.94384,0,109870
109871,Stewart at Dawes,49.17353,-123.94281,0,109871
110350,Village at Qualicum,49.34899,-124.4213,0,110350
110351,Village at Hemsworth,49.34857,-124.42798,0,110351
110352,Village 310 block,49.34882,-124.43284,0,110352
104022,Fern at Primrose,49.34609,-124.44464,0,104022
104023,Fern at Memorial,49.34606,-124.44229,0,104023
104024,Fern at Berwick Rd S,49.34605,-124.43948,0,104024
104026,Berwick at Sixth Ave. E,49.34365,-124.43908,0,104026
104158,Berwick at Garden,49.34209,-124.43909,0,104158
104171,Berwick Rd at 885 Block,49.34027,-124.43913,0,104171
104028,Rupert Rd E at Berwick,49.33925,-124.43869,0,104028
104029,Rupert Rd E at Qualicum,49.33926,-124.4203,0,104029
104060,Rupert at Hollywood,49.33929,-124.40972,0,104060
104061,Rupert at Bluebird,49.3393,-124.40554,0,104061
104062,Rupert E at Ravensbourne,49.34159,-124.39923,0,104062
104063,Miraloma at Chartwest,49.34295,-124.39848,0,104063
104064,Chartwell at Miraloma Dr,49.3424,-124.39319,0,104064
104065,Ormonde Rd at Devon,49.34356,-124.39149,0,104065
104066,Ormonde at Yambury,49.34294,-124.38806,0,104066
104067,Ormonde at Boultbee,49.34296,-124.38513,0,104067
104068,Boultbee acr Bunker Plc,49.34395,-124.38472,0,104068
110375,Sunrise at Nicolls,49.34473,-124.38183,0,110375
110376,Sunrise at Drew,49.34556,-124.37729,0,110376
104077,Pintail Dr at Johnstone,49.35219,-124.37922,0,104077
104078,Pintail at Point Mercer,49.35285,-124.38281,0,104078
104079,Pintail at Yambury Rd,49.35394,-124.38828,0,104079
104080,Pintail at Eaglecrest Dr,49.35459,-124.3929,0,104080
104113,Eaglecrest at Mallard,49.35201,-124.39514,0,104113
104115,Harlequin at Wood Duck,49.35044,-124.39486,0,104115
